column,strategy,unique
medical_specialty,frequency_encode,73
diag_1,frequency_encode,717
diag_2,frequency_encode,749
diag_3,frequency_encode,790
citoglipton,one_hot,1
examide,one_hot,1
acetohexamide,one_hot,2
glimepiride-pioglitazone,one_hot,2
glipizide-metformin,one_hot,2
metformin-pioglitazone,one_hot,2
metformin-rosiglitazone,one_hot,2
tolbutamide,one_hot,2
troglitazone,one_hot,2
tolazamide,one_hot,3
acarbose,one_hot,4
chlorpropamide,one_hot,4
glimepiride,one_hot,4
glipizide,one_hot,4
glyburide,one_hot,4
glyburide-metformin,one_hot,4
insulin,one_hot,4
metformin,one_hot,4
miglitol,one_hot,4
nateglinide,one_hot,4
pioglitazone,one_hot,4
repaglinide,one_hot,4
rosiglitazone,one_hot,4
race,one_hot,6
age,one_hot,10
weight,one_hot,10
payer_code,one_hot,18
