column,q1,q3,iqr,lower_bound,upper_bound,n_outliers
number_outpatient,0.0,0.0,0.0,0.0,0.0,16739
number_emergency,0.0,0.0,0.0,0.0,0.0,11383
discharge_disposition_id,1.0,4.0,3.0,-3.5,8.5,9818
number_inpatient,0.0,1.0,1.0,-1.5,2.5,7049
admission_source_id,1.0,7.0,6.0,-8.0,16.0,6956
diag_1,410.0,594.0,184.0,134.0,870.0,6696
num_procedures,0.0,2.0,2.0,-3.0,5.0,4954
num_medications,10.0,20.0,10.0,-5.0,35.0,2557
time_in_hospital,2.0,6.0,4.0,-4.0,12.0,2252
diag_2,278.0,518.0,240.0,-82.0,878.0,1795
diag_3,276.0,493.75,217.75,-50.625,820.375,1752
admission_type_id,1.0,3.0,2.0,-2.0,6.0,341
number_diagnoses,6.0,9.0,3.0,1.5,13.5,281
patient_nbr,23413221.0,87545949.75,64132728.75,-72785872.125,183745042.875,247
num_lab_procedures,31.0,57.0,26.0,-8.0,96.0,143
encounter_id,84961194.0,230270887.5,145309693.5,-133003346.25,448235427.75,0
