column,q1,q3,iqr,lower_bound,upper_bound,n_outliers
number_inpatient,0.0,0.0,0.0,0.0,0.0,14190
time_in_hospital,2.0,5.0,3.0,-2.5,9.5,2702
admission_type_id,1.0,2.0,1.0,-0.5,3.5,2111
num_medications,10.0,18.0,8.0,-2.0,30.0,1076
discharge_disposition_id,1.0,3.0,2.0,-2.0,6.0,457
num_lab_procedures,32.0,56.0,24.0,-4.0,92.0,73
admission_source_id,1.0,7.0,6.0,-8.0,16.0,0
num_procedures,0.0,2.0,2.0,-3.0,5.0,0
number_outpatient,0.0,0.0,0.0,0.0,0.0,0
number_emergency,0.0,0.0,0.0,0.0,0.0,0
number_diagnoses,6.0,9.0,3.0,1.5,13.5,0
